Name,hof_status,games,pa,hr,rbi,sb,avg,obp,slg,wrc,Offensive_value,defensive_value,war
Nolan Gorman,notHOF,315,1179,60,161,14,0.222,0.301,0.435,104,3.1,-17.5,2.6
Roger Maris,HOF,225,812,14,100,0,0.258,0.33,0.392,112,10.9,5.1,4.7
Roger Bresnahan,HOF,289,992,4,106,32,0.275,0.401,0.379,128,31.6,5.4,7.6
Jesse Haines,HOF,559,1213,3,79,2,0.185,0.207,0.217,9,-148.4,64.7,-3.8
Carlos Beltrán,HOF,296,1219,56,181,15,0.282,0.343,0.493,127,38.5,-18.3,6.1
Roger Connor,HOF,350,1536,27,240,39,0.304,0.39,0.49,117,41.7,7,8.8
Jake Beckley,HOF,395,1639,2,175,32,0.286,0.33,0.364,111,15.3,-22.1,5.5
Orlando Cepeda,HOF,431,1809,58,242,28,0.29,0.355,0.454,131,62,-23,11.2
Bobby Wallace,HOF,451,1873,18,275,40,0.287,0.337,0.414,106,13.6,56.8,13
Jesse Burkett,HOF,424,1951,24,214,84,0.378,0.444,0.495,157,152.8,-19.6,19
Tommy McCarthy,HOF,540,2471,17,295,270,0.307,0.371,0.393,114,74,5.8,15.8
Scott Rolen,HOF,661,2737,111,453,33,0.286,0.37,0.51,128,104.8,81.7,27.1
Chick Hafey,HOF,812,3277,127,618,56,0.326,0.379,0.568,135,168.2,-33,23.4
Johnny Mize,HOF,854,3582,158,653,14,0.336,0.419,0.6,169,311.2,-36.3,37.5
Joe Medwick,HOF,1216,5056,152,923,28,0.335,0.372,0.545,141,267.1,-23.6,39.3
Frankie Frisch,HOF,1311,5653,51,720,195,0.312,0.37,0.423,108,94.4,87.7,35.8
Jim Bottomley,HOF,1392,6008,181,1105,50,0.325,0.387,0.537,134,285,-109.9,36.5
Ted Simmons,HOF,1564,6450,172,929,11,0.298,0.366,0.459,126,182.5,66.3,49.2
Rogers Hornsby,HOF,1580,6714,193,1072,118,0.359,0.427,0.568,171,594.1,96.1,92.6
Ken Boyer,HOF,1667,7046,255,1001,97,0.293,0.356,0.475,119,154.4,105.5,50.7
Red Schoendienst,HOF,1795,7446,65,651,80,0.289,0.338,0.388,93,-58.5,107.9,29.4
Enos Slaughter,HOF,1820,7710,146,1148,64,0.305,0.384,0.463,128,270.5,-55.5,46.9
Albert Pujols,HOF,1814,7784,469,1397,85,0.326,0.417,0.614,166,644.9,-59.5,83.3
Ozzie Smith,HOF,1990,8242,27,664,433,0.272,0.35,0.344,97,8.7,300.3,59.5
Yadier Molina,HOF,2226,8554,176,1022,71,0.277,0.327,0.399,97,-109.9,373.8,55.6
Lou Brock,HOF,2289,9930,129,814,888,0.297,0.347,0.414,112,205,-158.1,41.6
Stan Musial,HOF,3026,12712,475,1951,78,0.331,0.417,0.559,157,901.6,-77.6,126.4
Gene Oliver,notHOF,251,759,30,100,8,0.25,0.327,0.438,98,-1.7,0.2,2.5
Art Nichols,notHOF,202,760,2,73,41,0.243,0.304,0.297,84,-13,-9.4,0.5
Aledmys Díaz,notHOF,190,761,24,85,8,0.283,0.338,0.461,111,9.3,0.1,3.5
Harry Arndt,notHOF,193,763,4,64,18,0.25,0.297,0.337,94,-7.4,-3,1.8
Bobby Tolan,notHOF,262,764,12,61,24,0.227,0.274,0.329,76,-20.8,-0.2,0.4
Mike Ramsey,notHOF,348,767,2,54,14,0.245,0.293,0.305,65,-30,-2.8,-0.8
Jack Bliss,notHOF,241,774,3,61,13,0.219,0.318,0.274,80,-21.1,10.6,1.5
Masyn Winn,notHOF,187,774,17,69,13,0.251,0.299,0.385,90,-7.1,7.7,2.8
Eddie Ainsmith,notHOF,228,780,16,98,6,0.263,0.316,0.398,85,-15.5,4.7,1.8
Adam Kennedy,notHOF,235,781,6,70,13,0.253,0.3,0.344,66,-32.9,7.5,0
Carl Sawatski,notHOF,305,785,35,116,2,0.256,0.346,0.444,103,4,2.9,3.4
Andrew Knizner,notHOF,256,794,17,76,4,0.216,0.29,0.331,74,-27.4,-12.5,-1.3
Doug Baird,notHOF,202,798,2,53,45,0.248,0.3,0.359,100,5.6,18.8,5.5
Hal Rice,notHOF,267,801,14,106,1,0.259,0.31,0.386,85,-16.9,-13.8,-0.4
Eddie Kasko,notHOF,238,802,3,57,7,0.255,0.304,0.316,61,-37.5,13.3,-0.1
Billy Southworth,notHOF,210,814,13,111,23,0.305,0.352,0.442,109,12.5,-1.1,3.8
Reggie Sanders,notHOF,228,816,43,121,35,0.265,0.325,0.507,113,18.2,-3.7,4.1
Al Shaw,notHOF,230,819,3,54,25,0.257,0.335,0.335,112,8.9,-16.1,2.4
Howard Freigau,notHOF,223,827,3,74,15,0.261,0.306,0.338,72,-31.3,0.1,-0.1
Bernie Carbo,notHOF,276,828,18,86,3,0.272,0.385,0.4,122,20.8,-2.9,4.8
Billy Johnson,notHOF,229,828,16,99,6,0.258,0.339,0.379,95,-4.4,23.8,4.8
Dick Sisler,notHOF,280,831,16,115,3,0.255,0.301,0.377,85,-16.5,-13.2,-0.3
Danny Litwhiler,notHOF,226,840,22,113,3,0.268,0.329,0.428,112,11.5,1.1,4
Jack Glasscock,notHOF,187,842,4,98,46,0.272,0.342,0.35,98,-0.9,10.5,3.7
Tuck Turner,notHOF,189,842,3,75,15,0.262,0.323,0.368,83,-24.8,-21.5,-1.2
Chuck Diering,notHOF,396,845,8,75,6,0.252,0.34,0.367,88,-12.5,-19.5,-0.4
Adam Wainwright,notHOF,508,848,10,75,0,0.194,0.221,0.293,35,-69.1,91.5,5
Frank Shugart,notHOF,192,848,7,100,34,0.288,0.351,0.41,88,-19.3,-13.1,0.3
Jack Ryan,notHOF,226,850,1,55,9,0.203,0.226,0.251,42,-63.4,9.8,-2.2
Willson Contreras,notHOF,209,853,35,103,10,0.263,0.367,0.468,133,30.6,-6.1,5.4
Greg Garcia,notHOF,409,860,10,57,6,0.248,0.356,0.339,95,-2.8,-3.3,2.2
Bill Doak,notHOF,376,864,0,23,0,0.124,0.155,0.151,-12,-113,40.9,-4.6
Buster Adams,notHOF,231,874,25,124,6,0.265,0.347,0.406,109,10.7,-9.7,3.1
Raymond Charles,notHOF,220,877,1,46,22,0.218,0.27,0.264,71,-26.6,-20.7,-2
Steve Bilko,notHOF,219,877,24,107,0,0.246,0.328,0.395,89,-12.4,-9.1,0.7
Cozy Dolan,notHOF,237,879,6,70,59,0.257,0.344,0.354,111,15.9,-12.6,3.4
Del Ennis,notHOF,242,889,27,152,1,0.276,0.315,0.436,95,-6.8,-31.5,-1.1
John Barry,notHOF,217,897,0,42,19,0.242,0.303,0.279,86,-14.8,-16.5,-0.3
Juan Encarnacion,notHOF,231,905,28,126,8,0.28,0.319,0.444,95,-6.2,-25.2,-0.1
Jack Dunleavy,notHOF,231,908,2,49,33,0.241,0.318,0.306,90,-10.7,-9.8,1.2
Klondike Douglass,notHOF,206,924,7,78,30,0.305,0.384,0.374,103,0.2,-16.6,1.6
Jose Cardenal,notHOF,237,938,17,122,38,0.275,0.332,0.41,103,6.8,-25.2,1.5
Doc Bushong,notHOF,245,944,1,78,26,0.245,0.29,0.287,80,-31.6,47.4,5.3
Ron Northey,notHOF,296,946,35,177,0,0.291,0.383,0.49,129,34.5,-25.1,4.1
Craig Paquette,notHOF,305,956,40,162,8,0.267,0.309,0.461,92,-10.1,-5.9,1.5
Tito Landrum,notHOF,517,963,11,101,16,0.251,0.312,0.355,87,-17.7,15,2.9
Bill Sherdel,notHOF,500,973,9,80,2,0.225,0.274,0.305,55,-60.7,46.5,2.1
Dan McGann,notHOF,224,976,10,114,43,0.285,0.356,0.39,111,15.1,-4.9,4.4
Art Butler,notHOF,302,981,2,62,43,0.231,0.311,0.291,84,-14.4,-0.6,1.9
Zinn Beck,notHOF,279,986,3,72,21,0.228,0.281,0.31,76,-26.4,12.9,1.8
Ivey Wingo,notHOF,317,987,8,108,41,0.267,0.315,0.375,94,-5.1,4.2,3.4
Joe Garagiola,notHOF,317,987,17,109,0,0.244,0.345,0.363,92,-9.6,12.9,3.5
Charlie Duffee,notHOF,235,990,19,140,41,0.257,0.334,0.391,98,-6.2,5.6,3.4
Dick Harley,notHOF,231,994,3,77,36,0.263,0.34,0.307,85,-21,-23,-0.7
Ted Breitenstein,notHOF,291,995,1,63,24,0.196,0.29,0.232,49,-87.3,-9.2,-4.3
Alec Burleson,notHOF,275,995,30,117,13,0.256,0.307,0.402,97,-8.7,-27.6,-0.3
Fred Hartman,notHOF,238,998,2,119,32,0.266,0.306,0.329,77,-27.9,-6.8,0
Mark Whiten,notHOF,244,1000,39,152,25,0.268,0.338,0.446,106,7.3,-6.7,3.5
Bob Forsch,notHOF,466,1003,12,79,3,0.215,0.238,0.326,52,-54.6,84.5,6.5
Lou Klein,notHOF,254,1013,11,84,10,0.265,0.339,0.382,103,5.2,28.4,6.8
Gene Paulette,notHOF,263,1021,0,97,24,0.261,0.303,0.328,92,-8.7,-6.2,1.8
Art Hoelskoetter,notHOF,299,1024,2,53,9,0.236,0.271,0.282,74,-32.6,-2.9,-0.3
Hector Cruz,notHOF,303,1032,19,119,5,0.224,0.294,0.338,75,-29,-29,-2.5
Frank Crespi,notHOF,264,1035,4,88,8,0.263,0.336,0.321,87,-15.4,13.1,3
Pug Bennett,notHOF,240,1035,1,55,27,0.248,0.312,0.297,93,-9.3,-6.9,2
Bill Sarni,notHOF,312,1038,17,128,6,0.271,0.319,0.386,84,-20.4,17.2,2.9
Joe Delahanty,notHOF,270,1043,4,100,24,0.238,0.301,0.315,96,-6.5,-20.3,0.8
Monte Cross,notHOF,256,1046,10,107,78,0.265,0.361,0.368,94,-4.3,4.8,3.4
Gregg Jefferies,notHOF,245,1059,28,138,58,0.335,0.401,0.487,137,54.3,-18.1,7.2
George Miller,notHOF,248,1065,13,160,35,0.315,0.375,0.411,97,-8.3,-8,1.9
Matty Alou,notHOF,268,1103,10,106,30,0.314,0.352,0.403,114,18.3,-12.3,4.7
Duff Cooley,notHOF,255,1115,8,130,54,0.326,0.366,0.419,100,-1.8,-7.8,3.1
Erv Dusak,notHOF,372,1121,22,96,12,0.24,0.335,0.351,88,-16,-2.3,1.9
Tino Martinez,notHOF,288,1123,36,144,4,0.267,0.345,0.434,104,2.3,-15.4,2.3
Delino DeShields,notHOF,267,1127,18,102,81,0.293,0.363,0.44,112,22.9,1.9,5.9
Alvin Dark,notHOF,258,1133,9,106,6,0.289,0.323,0.379,86,-18.6,21.7,3.7
Lave Cross,notHOF,270,1138,7,149,26,0.311,0.34,0.395,103,1.6,38.4,7.9
Tommy Glaviano,notHOF,336,1144,21,103,9,0.261,0.393,0.395,115,24.3,6.5,6.7
Virgil Davis,notHOF,323,1147,14,185,0,0.295,0.363,0.421,109,12.4,10.5,5.9
Rick Ankiel,notHOF,344,1153,49,157,7,0.251,0.311,0.452,97,1.6,-10,2.8
Geronimo Pena,notHOF,373,1160,29,122,54,0.264,0.346,0.427,113,19.3,5,6.4
Otto Krueger,notHOF,282,1160,3,128,33,0.275,0.343,0.352,108,12.1,-3.5,4.8
Peanuts Lowrey,notHOF,441,1169,12,124,4,0.278,0.344,0.379,94,-8.1,-14,1.7
Steve Brodie,notHOF,261,1171,6,139,69,0.281,0.342,0.354,95,-3.7,-8.9,2.8
Heinie Peitz,notHOF,289,1174,6,159,35,0.266,0.348,0.386,88,-27.9,4.3,2.1
Emil Verban,notHOF,302,1174,0,115,4,0.268,0.296,0.319,70,-42.8,32,2.7
Marcell Ozuna,notHOF,278,1177,52,177,15,0.262,0.327,0.451,108,16.7,-12.9,4
Ken O'Dea,notHOF,336,1178,19,140,1,0.247,0.334,0.364,98,-3.1,12.9,4.9
Dave Brain,notHOF,290,1179,9,149,43,0.246,0.279,0.36,90,-14.3,3.4,3.5
David Green,notHOF,383,1184,26,160,62,0.273,0.31,0.407,98,-1.7,6.4,4.4
Walton Cruise,notHOF,330,1185,15,126,21,0.27,0.334,0.378,117,18.8,-16.1,4.5
Joe Hague,notHOF,342,1194,36,142,2,0.241,0.338,0.396,103,2.3,-22.3,2.2
Perry Werden,notHOF,274,1217,9,178,31,0.266,0.338,0.394,101,-2.2,13.9,5.3
Bones Ely,notHOF,288,1234,13,151,53,0.279,0.318,0.379,73,-57.8,18.7,1.2
Gus Mancuso,notHOF,368,1234,15,166,3,0.275,0.338,0.389,90,-13.3,8.8,3.3
Dave Foutz,notHOF,302,1248,7,201,39,0.296,0.326,0.402,108,15.8,-3,5.3
Dane Iorg,notHOF,499,1250,6,152,5,0.294,0.338,0.387,101,0.8,-16,2.7
Phil Gagliano,notHOF,468,1255,14,124,4,0.236,0.303,0.319,76,-33.9,5.3,1.3
Fernando Tatis,notHOF,300,1262,60,197,30,0.282,0.389,0.525,133,54.9,-31.2,5.9
Felix Jose,notHOF,310,1269,25,165,52,0.298,0.352,0.436,123,31.4,-19.4,5.6
Jack Rothrock,notHOF,283,1287,14,128,17,0.279,0.341,0.376,92,-11.6,-4,2.8
José Martínez,notHOF,398,1288,41,172,7,0.298,0.363,0.458,122,31.5,-37,3.6
Tommy Thevenow,notHOF,357,1291,2,104,14,0.236,0.279,0.295,51,-84.6,65.8,2.7
Joe Schultz,notHOF,405,1300,10,165,16,0.286,0.326,0.372,92,-11.6,-11.7,2.1
Stephen Piscotty,notHOF,323,1306,38,163,12,0.268,0.346,0.438,112,15.2,-10.8,4.8
Tom Brunansky,notHOF,320,1306,43,166,21,0.238,0.327,0.411,112,14.8,-19,4
Red Murray,notHOF,332,1316,15,124,76,0.271,0.317,0.391,121,35.3,-23.1,6.5
Chris Duncan,notHOF,389,1317,55,175,4,0.257,0.348,0.458,111,22.7,-32,3.2
Bob Bescher,notHOF,323,1329,11,85,69,0.239,0.324,0.33,102,2.9,-17.2,3.3
Brendan Ryan,notHOF,415,1332,9,95,39,0.259,0.314,0.344,77,-26.1,38.3,5.4
Reggie Smith,notHOF,325,1333,50,199,14,0.293,0.371,0.495,139,58.4,-9.3,9.8
Nippy Jones,notHOF,374,1357,22,196,4,0.27,0.308,0.384,81,-33.3,-26,-1.4
Tommy Pham,notHOF,385,1361,53,161,39,0.267,0.36,0.458,123,46.4,-7.4,8.4
Max Flack,notHOF,340,1364,7,98,18,0.278,0.342,0.367,88,-28,-19.9,0.4
Jack Clark,notHOF,322,1371,66,216,3,0.274,0.413,0.522,154,87.5,-33,10.1
Lars Nootbaar,notHOF,392,1379,45,146,24,0.246,0.348,0.425,116,30.6,-0.6,7.8
Daniel Descalso,notHOF,529,1380,10,111,16,0.243,0.313,0.341,81,-23,-12,0.7
Jedd Gyorko,notHOF,416,1383,63,180,10,0.256,0.328,0.456,110,12.2,21.7,8
Randal Grichuk,notHOF,404,1386,66,182,15,0.249,0.297,0.488,108,16.6,-0.5,6.3
Jimmy Burke,notHOF,357,1387,1,109,60,0.246,0.292,0.291,77,-34.4,3.1,1.8
Bob O'Farrell,notHOF,387,1393,12,142,6,0.271,0.357,0.372,96,-7.2,14.2,5.3
Jose Cruz,notHOF,445,1395,26,128,29,0.247,0.333,0.379,100,1.5,-13.1,3.6
Chief Wilson,notHOF,381,1403,15,144,26,0.258,0.304,0.362,98,-5.1,-3.3,3.6
